Tweet,Label,mood
pagi2 udah di buat emosi :),Anger,Marah
"kok stabilitas negara, memange 10 thn negara tdk aman, bahkan sby menyuburkan ormas2 radikal, intoleran, teroris, yg berafiliasi ke partai tertentu..narasi klhtn intelektual tp bodoh..",Anger,Marah
dah lah emosi mulu liat emyu,Anger,Marah
"aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya",Anger,Marah
dih lu yg nyebelin bego,Anger,Marah
"asli malu maluin org indo tolol yg rep latah ""cilukba"" pake huruf hijaiyah sm ""ngntd"" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya ""ngtd"" semua, dasar goblogg trend tiktok ter tolol",Anger,Marah
drama abg tolol,Anger,Marah
masih emosi sih sama katla kemarin. mana keterangannya gini aja. ((hasil mengaci)) kzl.,Anger,Marah
"bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya",Anger,Marah
pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget,Anger,Marah
ya allah mau marah tpi gimana ya,Anger,Marah
silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun.,Anger,Marah
"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa",Anger,Marah
"angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand.",Anger,Marah
"bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh",Anger,Marah
"mas ngelonte dulu mas, biar otaknya jadi seger lg, bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama. punya tolol kok kebangetan bgt sih",Anger,Marah
1-10!! marah aku,Anger,Marah
tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara,Anger,Marah
"izinin suami poligami buat menghindari zina? lol banget, heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina, tpi biar gak zina jdi dinikahin? ngelirik cewek sambil nyebarin ajaran agama gitu? tolol, belajar agama lagi sana",Anger,Marah
gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing,Anger,Marah
